angular_z,linear_x,left_forward,right_forward,left_side,right_side,ans,time
-0.020943951,0.134100005,106,86,410,395,0,42.6
-0.020943951,0.134100005,106,86,410,395,0,42.65
-0.019547688,0.1329,114,87,412,398,0,42.7
-0.019547688,0.1329,114,87,412,398,0,42.75
0.015358898,0.132599995,116,92,416,427,0,42.8
0.015358898,0.132599995,116,92,416,427,0,42.85
-0.020943951,0.130199999,132,112,414,399,0,42.9
-0.020943951,0.130199999,132,112,414,399,0,42.95
-0.103323489,0.127649993,149,118,408,334,0,43
-0.103323489,0.127649993,149,118,408,334,0,43.05
-0.540353954,0.126900002,154,140,420,33,0,43.1
-0.540353954,0.126900002,154,140,420,33,0,43.15
-0.494277239,0.124650002,169,141,363,9,0,43.2
-0.494277239,0.124650002,169,141,363,9,0,43.25
-0.43144539,0.125400007,164,158,319,10,0,43.3
-0.43144539,0.125400007,164,158,319,10,0,43.35
-0.309970468,0.124200001,167,172,232,10,0,43.4
-0.309970468,0.124200001,167,172,232,10,0,43.45
-0.259705007,0.126599997,156,128,195,9,0,43.5
-0.259705007,0.126599997,156,128,195,9,0,43.55
-0.251327425,0.126450002,156,157,191,11,0,43.6
-0.251327425,0.126450002,156,157,191,11,0,43.65
-0.217817098,0.120899998,194,162,169,13,0,43.7
-0.217817098,0.120899998,194,162,169,13,0,43.75
-0.231779724,0.114299998,238,206,174,8,0,43.8
-0.231779724,0.114299998,238,206,174,8,0,43.85
-0.27785641,0.109949999,267,235,206,7,0,43.9
-0.27785641,0.109949999,267,235,206,7,0,43.95
-0.228987202,0.105599999,296,259,171,7,0,44
-0.228987202,0.105599999,296,259,171,7,0,44.05
-0.309970468,0.100199997,332,289,237,15,0,44.1
-0.309970468,0.100199997,332,289,237,15,0,44.15
-0.432841659,0.090899996,394,340,320,10,0,44.2
-0.432841659,0.090899996,394,340,320,10,0,44.25
-0.614355922,0.084449999,437,364,446,6,0,44.3
-0.614355922,0.084449999,437,364,446,6,0,44.35
-0.823795378,0.073349997,511,362,603,13,0,44.4
-0.823795378,0.073349997,511,362,603,13,0,44.45
-1.105840564,0.076949999,487,333,810,18,0,44.5
-1.105840564,0.076949999,487,333,810,18,0,44.55
-1.41720736,0.075149998,499,272,1030,15,0,44.6
-1.41720736,0.075149998,499,272,1030,15,0,44.65
-1.771858215,0.090899996,394,175,1285,16,0,44.7
-1.771858215,0.090899996,394,175,1285,16,0,44.75
-2.217266321,0.085950002,427,95,1598,10,0,44.8
-2.217266321,0.085950002,427,95,1598,10,0,44.85
-2.22843647,0.116850004,221,31,1642,46,0,44.9
-2.22843647,0.116850004,221,31,1642,46,0,44.95
-1.049990058,0.142800003,48,15,914,162,0,45
-1.049990058,0.142800003,48,15,914,162,0,45.05
-0.388161212,0.144449994,37,27,583,305,0,45.1
-0.388161212,0.144449994,37,27,583,305,0,45.15
-0.208043247,0.142499998,50,39,518,369,0,45.2
-0.208043247,0.142499998,50,39,518,369,0,45.25
-0.103323489,0.142800003,48,33,469,395,0,45.3
-0.103323489,0.142800003,48,33,469,395,0,45.35
0.001396263,0.143849999,41,11,435,436,0,45.4
0.001396263,0.143849999,41,11,435,436,0,45.45
-0.006981317,0.142350003,51,32,434,429,0,45.5
-0.006981317,0.142350003,51,32,434,429,0,45.55
0.020943951,0.141149998,59,59,424,439,0,45.6
0.020943951,0.141149998,59,59,424,439,0,45.65
0.041887902,0.140100002,66,38,414,444,0,45.7
0.041887902,0.140100002,66,38,414,444,0,45.75
0.037699111,0.141000003,60,59,411,438,0,45.8
0.037699111,0.141000003,60,59,411,438,0,45.85
